block,price,ts
13539440,3031454440000000000,1635882185
13539441,3031454440000000000,1635882211
13539442,3031454440000000000,1635882220
13539443,3031454440000000000,1635882224
13539444,3031454440000000000,1635882235
13539445,3031454440000000000,1635882237
13539446,3031454440000000000,1635882238
13539447,3031454440000000000,1635882243
13539448,3031454440000000000,1635882248
13539449,3031454440000000000,1635882263
13539450,3031454440000000000,1635882279
13539451,3031454440000000000,1635882281
13539452,3031454440000000000,1635882311
13539453,3031454440000000000,1635882316
13539454,3031454440000000000,1635882322
13539455,3031454440000000000,1635882328
13539456,3031454440000000000,1635882339
13539457,3031454440000000000,1635882345
13539458,3031454440000000000,1635882354
13539459,3031454440000000000,1635882369
13539460,3031454440000000000,1635882370
13539461,3031454440000000000,1635882381
13539462,3031454440000000000,1635882387
13539463,3031454440000000000,1635882390
13539464,3031454440000000000,1635882397
13539465,3031454440000000000,1635882411
13539466,3031454440000000000,1635882452
13539467,3031454440000000000,1635882462
13539468,3031454440000000000,1635882477
13539469,3031454440000000000,1635882487
13539470,3031454440000000000,1635882497
13539471,3031454440000000000,1635882505
13539472,3031454440000000000,1635882556
13539473,3031454440000000000,1635882614
13539474,3031454440000000000,1635882624
13539475,3031454440000000000,1635882626
13539476,3031454440000000000,1635882652
13539477,3031454440000000000,1635882657
13539478,3031454440000000000,1635882683
13539479,3031454440000000000,1635882711
13539480,3031454440000000000,1635882729
13539481,3031454440000000000,1635882735
13539482,3031454440000000000,1635882748
13539483,3031454440000000000,1635882751
13539484,3031454440000000000,1635882759
13539485,3031454440000000000,1635882769
13539486,3031454440000000000,1635882801
13539487,3031454440000000000,1635882822
13539488,3031454440000000000,1635882828
13539489,3031454440000000000,1635882835
13539490,3031454440000000000,1635882845
13539491,3031454440000000000,1635882862
13539492,3031454440000000000,1635882864
13539493,3031454440000000000,1635882894
13539494,3031454440000000000,1635882910
13539495,3031454440000000000,1635882924
13539496,3031454440000000000,1635882939
13539497,3031454440000000000,1635882970
13539498,3031454440000000000,1635882977
13539499,3031454440000000000,1635882980
13539500,3031454440000000000,1635882985
13539501,3031454440000000000,1635882990
13539502,3031454440000000000,1635883001
13539503,3031454440000000000,1635883017
13539504,3031454440000000000,1635883024
13539505,3031454440000000000,1635883026
13539506,3031454440000000000,1635883034
13539507,3031454440000000000,1635883046
13539508,3031454440000000000,1635883071
13539509,3031454440000000000,1635883093
13539510,3031454440000000000,1635883100
13539511,3031454440000000000,1635883132
13539512,3031454440000000000,1635883155
13539513,3031454440000000000,1635883161
13539514,3031454440000000000,1635883169
13539515,3031454440000000000,1635883184
13539516,3031454440000000000,1635883188
13539517,3031454440000000000,1635883220
13539518,3031454440000000000,1635883235
13539519,3031454440000000000,1635883257
13539520,3031454440000000000,1635883265
13539521,3031454440000000000,1635883286
13539522,3031454440000000000,1635883298
13539523,3031454440000000000,1635883315
13539524,3031454440000000000,1635883323
13539525,3031454440000000000,1635883328
13539526,3031454440000000000,1635883340
